time,simulation,state,bias,estimate,method,truth
365,1,1,0.01227459574535239,0.9618535957453523,Aalen-Johansen,0.949579
365,1,2,-0.012013395204799458,0.020904604795200545,Aalen-Johansen,0.032918
365,1,3,-2.612005405528729e-4,0.01724179945944713,Aalen-Johansen,0.017503
730,1,1,-0.0025788956918118,0.9167461043081881,Aalen-Johansen,0.919325
730,1,2,-0.005475641707246161,0.03723835829275384,Aalen-Johansen,0.042714
730,1,3,0.008054537399058093,0.046015537399058094,Aalen-Johansen,0.037961
1095,1,1,-0.017830850883768568,0.8713201491162315,Aalen-Johansen,0.889151
1095,1,2,0.002113684271484506,0.0511016842714845,Aalen-Johansen,0.048988
1095,1,3,0.015717166612284214,0.07757816661228421,Aalen-Johansen,0.061861
1460,1,1,-0.015688205714975645,0.8507727942850244,Aalen-Johansen,0.866461
1460,1,2,-0.015275271491178126,0.03956372850882187,Aalen-Johansen,0.054839
1460,1,3,0.030963477206154055,0.10966347720615405,Aalen-Johansen,0.07869999999999999
1825,1,1,-0.010766357746272992,0.833679642253727,Aalen-Johansen,0.844446
1825,1,2,-0.03483631711702223,0.02545368288297777,Aalen-Johansen,0.06029
1825,1,3,0.045602674863295486,0.1408666748632955,Aalen-Johansen,0.095264
365,2,1,0.01577817104486634,0.9653571710448663,Aalen-Johansen,0.949579
365,2,2,-0.01317376135760051,0.019744238642399492,Aalen-Johansen,0.032918
365,2,3,-0.0026044096872655416,0.01489859031273446,Aalen-Johansen,0.017503
730,2,1,-0.009013618941044799,0.9103113810589551,Aalen-Johansen,0.919325
730,2,2,0.007948800083942512,0.050662800083942514,Aalen-Johansen,0.042714
730,2,3,0.0010648188571023634,0.039025818857102365,Aalen-Johansen,0.037961
1095,2,1,0.011644584805084124,0.9007955848050841,Aalen-Johansen,0.889151
1095,2,2,-0.006906191504706963,0.042081808495293034,Aalen-Johansen,0.048988
1095,2,3,-0.004738393300377217,0.05712260669962278,Aalen-Johansen,0.061861
1460,2,1,0.012187261593567644,0.8786482615935677,Aalen-Johansen,0.866461
1460,2,2,-0.007379818039973063,0.047459181960026936,Aalen-Johansen,0.054839
1460,2,3,-0.004807443553594651,0.07389255644640534,Aalen-Johansen,0.07869999999999999
1825,2,1,0.010093907316396922,0.854539907316397,Aalen-Johansen,0.844446
1825,2,2,0.005366205008818854,0.06565620500881886,Aalen-Johansen,0.06029
1825,2,3,-0.015460112325215797,0.0798038876747842,Aalen-Johansen,0.095264
365,3,1,-0.016025821862627354,0.9335531781373726,Aalen-Johansen,0.949579
365,3,2,0.0024134976588561924,0.035331497658856195,Aalen-Johansen,0.032918
365,3,3,0.01361232420377095,0.03111532420377095,Aalen-Johansen,0.017503
730,3,1,-0.022464603065183386,0.8968603969348166,Aalen-Johansen,0.919325
730,3,2,0.0035313233395921143,0.046245323339592116,Aalen-Johansen,0.042714
730,3,3,0.018933279725591078,0.05689427972559108,Aalen-Johansen,0.037961
1095,3,1,-0.001942095661639276,0.8872089043383607,Aalen-Johansen,0.889151
1095,3,2,0.0012646032486060763,0.05025260324860607,Aalen-Johansen,0.048988
1095,3,3,6.774924130329568e-4,0.06253849241303296,Aalen-Johansen,0.061861
1460,3,1,-4.53384548585789e-4,0.8660076154514142,Aalen-Johansen,0.866461
1460,3,2,-0.0018759841399991414,0.05296301586000086,Aalen-Johansen,0.054839
1460,3,3,0.002329368688584632,0.08102936868858462,Aalen-Johansen,0.07869999999999999
1825,3,1,-0.009938939392992951,0.8345070606070071,Aalen-Johansen,0.844446
1825,3,2,0.004453534674820479,0.06474353467482048,Aalen-Johansen,0.06029
1825,3,3,0.005485404718172188,0.10074940471817219,Aalen-Johansen,0.095264
365,4,1,-0.011334325307451931,0.938244674692548,Aalen-Johansen,0.949579
365,4,2,0.005481316237157155,0.03839931623715716,Aalen-Johansen,0.032918
