time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,0.029613357263684303,0.8473163572636843,0.817703
365,1,Aalen-Johansen,2,-0.017758269343334826,0.08135973065666517,0.099118
365,1,Aalen-Johansen,3,-0.01185508792034963,0.07132391207965037,0.083179
730,1,Aalen-Johansen,1,-0.031209433757623084,0.695024566242377,0.726234
730,1,Aalen-Johansen,2,0.016695930287012023,0.14885793028701202,0.132162
730,1,Aalen-Johansen,3,0.014513503470610645,0.15611750347061065,0.141604
1095,1,Aalen-Johansen,1,-0.06783740602115529,0.5940365939788447,0.661874
1095,1,Aalen-Johansen,2,0.059987624675650664,0.20319762467565067,0.14321
1095,1,Aalen-Johansen,3,0.007849781345504181,0.2027657813455042,0.194916
1460,1,Aalen-Johansen,1,-0.07755858787924197,0.538967412120758,0.616526
1460,1,Aalen-Johansen,2,0.09727197485239991,0.2447659748523999,0.147494
1460,1,Aalen-Johansen,3,-0.019713386973158387,0.21626661302684158,0.23597999999999997
1825,1,Aalen-Johansen,1,-0.03435447552441517,0.5047205244755848,0.539075
1825,1,Aalen-Johansen,2,0.08006397485239991,0.2447659748523999,0.164702
1825,1,Aalen-Johansen,3,-0.04570949932798529,0.2505135006720147,0.296223
365,2,Aalen-Johansen,1,-0.05695948327244038,0.7607435167275596,0.817703
365,2,Aalen-Johansen,2,0.005012664315625678,0.10413066431562568,0.099118
365,2,Aalen-Johansen,3,0.05194681895681513,0.13512581895681514,0.083179
730,2,Aalen-Johansen,1,-0.02543723736156145,0.7007967626384386,0.726234
730,2,Aalen-Johansen,2,-0.026355575237574647,0.10580642476242536,0.132162
730,2,Aalen-Johansen,3,0.05179281259913643,0.19339681259913644,0.141604
1095,2,Aalen-Johansen,1,-0.04101997917364997,0.62085402082635,0.661874
1095,2,Aalen-Johansen,2,-0.01112749908616592,0.13208250091383408,0.14321
1095,2,Aalen-Johansen,3,0.05214747825981628,0.24706347825981628,0.194916
1460,2,Aalen-Johansen,1,-0.024228576451918338,0.5922974235480817,0.616526
1460,2,Aalen-Johansen,2,-0.0013011804310216202,0.14619281956897837,0.147494
1460,2,Aalen-Johansen,3,0.02552975688294029,0.26150975688294026,0.23597999999999997
1825,2,Aalen-Johansen,1,-0.025197102060467214,0.5138778979395328,0.539075
1825,2,Aalen-Johansen,2,-0.01850918043102162,0.14619281956897837,0.164702
1825,2,Aalen-Johansen,3,0.04370628249148911,0.3399292824914891,0.296223
365,3,Aalen-Johansen,1,0.02772150389794492,0.8454245038979449,0.817703
365,3,Aalen-Johansen,2,-0.01596325553193169,0.08315474446806831,0.099118
365,3,Aalen-Johansen,3,-0.011758248366013108,0.0714207516339869,0.083179
730,3,Aalen-Johansen,1,0.05060225452134315,0.7768362545213432,0.726234
730,3,Aalen-Johansen,2,-0.014805085892698244,0.11735691410730176,0.132162
730,3,Aalen-Johansen,3,-0.035797168628644904,0.1058068313713551,0.141604
1095,3,Aalen-Johansen,1,0.05330858352758583,0.7151825835275858,0.661874
1095,3,Aalen-Johansen,2,-0.01768036069778897,0.12552963930221103,0.14321
1095,3,Aalen-Johansen,3,-0.035628222829796746,0.15928777717020326,0.194916
1460,3,Aalen-Johansen,1,0.047000562433339166,0.6635265624333392,0.616526
