time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,0.029613357263684303,0.8473163572636843,0.817703
365,1,Aalen-Johansen,2,-0.01340420379001929,0.08144279620998071,0.094847
365,1,Aalen-Johansen,3,-0.016209153473665153,0.07124084652633485,0.08745
730,1,Aalen-Johansen,1,-0.031209433757623084,0.695024566242377,0.726234
730,1,Aalen-Johansen,2,0.0233955493676941,0.1383955493676941,0.115
730,1,Aalen-Johansen,3,0.007813884389928555,0.16657988438992857,0.15876600000000002
1095,1,Aalen-Johansen,1,-0.06783740602115529,0.5940365939788447,0.661874
1095,1,Aalen-Johansen,2,0.05893858113744409,0.1685205811374441,0.109582
1095,1,Aalen-Johansen,3,0.00889882488371077,0.23744282488371077,0.228544
1460,1,Aalen-Johansen,1,-0.07755858787924197,0.538967412120758,0.616526
1460,1,Aalen-Johansen,2,0.04999906188102013,0.15095906188102012,0.10096
1460,1,Aalen-Johansen,3,0.027559525998221368,0.31007352599822136,0.282514
1825,1,Aalen-Johansen,1,-0.03435447552441517,0.5047205244755848,0.539075
1825,1,Aalen-Johansen,2,0.04629506188102013,0.15095906188102012,0.104664
1825,1,Aalen-Johansen,3,-0.011940586356605498,0.3443204136433945,0.356261
365,2,Aalen-Johansen,1,-0.05695948327244038,0.7607435167275596,0.817703
365,2,Aalen-Johansen,2,-0.0011249588636562252,0.09372204113634378,0.094847
365,2,Aalen-Johansen,3,0.05808444213609701,0.145534442136097,0.08745
730,2,Aalen-Johansen,1,-0.02543723736156145,0.7007967626384386,0.726234
730,2,Aalen-Johansen,2,-0.008029217473824693,0.10697078252617531,0.115
730,2,Aalen-Johansen,3,0.033466454835386406,0.19223245483538642,0.15876600000000002
1095,2,Aalen-Johansen,1,-0.04101997917364997,0.62085402082635,0.661874
1095,2,Aalen-Johansen,2,0.008563607690199232,0.11814560769019923,0.109582
1095,2,Aalen-Johansen,3,0.03245637148345101,0.261000371483451,0.228544
1460,2,Aalen-Johansen,1,-0.024228576451918338,0.5922974235480817,0.616526
1460,2,Aalen-Johansen,2,-0.01933790552188472,0.08162209447811528,0.10096
1460,2,Aalen-Johansen,3,0.04356648197380325,0.32608048197380324,0.282514
1825,2,Aalen-Johansen,1,-0.025197102060467214,0.5138778979395328,0.539075
1825,2,Aalen-Johansen,2,-0.023041905521884717,0.08162209447811528,0.104664
1825,2,Aalen-Johansen,3,0.04823900758235211,0.4045000075823521,0.356261
365,3,Aalen-Johansen,1,0.02772150389794492,0.8454245038979449,0.817703
365,3,Aalen-Johansen,2,-0.011692255531931692,0.08315474446806831,0.094847
365,3,Aalen-Johansen,3,-0.016029248366013105,0.0714207516339869,0.08745
730,3,Aalen-Johansen,1,0.05060225452134315,0.7768362545213432,0.726234
730,3,Aalen-Johansen,2,0.0023569141073017524,0.11735691410730176,0.115
730,3,Aalen-Johansen,3,-0.052959168628644915,0.1058068313713551,0.15876600000000002
1095,3,Aalen-Johansen,1,0.05330858352758583,0.7151825835275858,0.661874
1095,3,Aalen-Johansen,2,-0.031012176057922627,0.07856982394207737,0.109582
1095,3,Aalen-Johansen,3,-0.022296407469663077,0.20624759253033692,0.228544
