time,simulation,state,bias,estimate,method,truth
365,1,1,-0.043223507323731925,0.774479492676268,Aalen-Johansen,0.817703
365,1,2,0.0193236621663391,0.1140776621663391,Aalen-Johansen,0.094754
365,1,3,0.023899845157393088,0.11144284515739308,Aalen-Johansen,0.087543
730,1,1,-0.03997517276483087,0.6862588272351692,Aalen-Johansen,0.726234
730,1,2,-6.815026337112368e-4,0.11453449736628876,Aalen-Johansen,0.115216
730,1,3,0.04065667539854234,0.19920667539854234,Aalen-Johansen,0.15855
1095,1,1,-0.0317280615454556,0.6301459384545444,Aalen-Johansen,0.661874
1095,1,2,0.018942971501361594,0.1284539715013616,Aalen-Johansen,0.109511
1095,1,3,0.0127850900440942,0.2414000900440942,Aalen-Johansen,0.228615
1460,1,1,-0.05512838755607674,0.5613976124439233,Aalen-Johansen,0.616526
1460,1,2,-0.005344933951817427,0.09519506604818258,Aalen-Johansen,0.10054
1460,1,3,0.06047332150789453,0.34340732150789455,Aalen-Johansen,0.282934
1825,1,1,-0.05777858914134121,0.48129641085865876,Aalen-Johansen,0.539075
1825,1,2,0.0033979070206089784,0.10779890702060897,Aalen-Johansen,0.104401
1825,1,3,0.054380682120732604,0.4109046821207326,Aalen-Johansen,0.356524
365,2,1,0.009522463167983553,0.8272254631679835,Aalen-Johansen,0.817703
365,2,2,-0.011533876628922135,0.08322012337107787,Aalen-Johansen,0.094754
365,2,3,0.0020114134609385548,0.08955441346093855,Aalen-Johansen,0.087543
730,2,1,0.019727877632058965,0.745961877632059,Aalen-Johansen,0.726234
730,2,2,-0.007307497461639001,0.107908502538361,Aalen-Johansen,0.115216
730,2,3,-0.012420380170420076,0.14612961982957992,Aalen-Johansen,0.15855
1095,2,1,0.01966765132748549,0.6815416513274855,Aalen-Johansen,0.661874
1095,2,2,-0.0192786767305467,0.0902323232694533,Aalen-Johansen,0.109511
1095,2,3,-3.8897459693884584e-4,0.22822602540306117,Aalen-Johansen,0.228615
1460,2,1,0.02730241331357197,0.643828413313572,Aalen-Johansen,0.616526
1460,2,2,-0.021011647362582403,0.0795283526374176,Aalen-Johansen,0.10054
1460,2,3,-0.006290765950989652,0.27664323404901037,Aalen-Johansen,0.282934
1825,2,1,0.025723538132281343,0.5647985381322813,Aalen-Johansen,0.539075
1825,2,2,-0.013237331972223793,0.0911636680277762,Aalen-Johansen,0.104401
1825,2,3,-0.0124862061600578,0.3440377938399422,Aalen-Johansen,0.356524
365,3,1,0.004533209924826864,0.8222362099248268,Aalen-Johansen,0.817703
365,3,2,0.004172717098839013,0.09892671709883902,Aalen-Johansen,0.094754
365,3,3,-0.008705927023665738,0.07883707297633426,Aalen-Johansen,0.087543
730,3,1,0.0027779642976534236,0.7290119642976535,Aalen-Johansen,0.726234
730,3,2,-0.011048147294837662,0.10416785270516234,Aalen-Johansen,0.115216
730,3,3,0.008270182997184211,0.1668201829971842,Aalen-Johansen,0.15855
1095,3,1,0.005993413648893053,0.667867413648893,Aalen-Johansen,0.661874
1095,3,2,-1.3340854304541572e-4,0.10937759145695458,Aalen-Johansen,0.109511
1095,3,3,-0.00586000510584786,0.22275499489415215,Aalen-Johansen,0.228615
1460,3,1,-0.014891461728610556,0.6016345382713895,Aalen-Johansen,0.616526
1460,3,2,0.002511898831980594,0.1030518988319806,Aalen-Johansen,0.10054
1460,3,3,0.012379562896629781,0.2953135628966298,Aalen-Johansen,0.282934
1825,3,1,-0.04953590770011246,0.4895390922998875,Aalen-Johansen,0.539075
1825,3,2,0.003992357588135015,0.10839335758813501,Aalen-Johansen,0.104401
1825,3,3,0.04554355011197747,0.4020675501119775,Aalen-Johansen,0.356524
365,4,1,-0.03726997769488383,0.7804330223051161,Aalen-Johansen,0.817703
365,4,2,0.0431267623219575,0.1378807623219575,Aalen-Johansen,0.094754
365,4,3,-0.005856784627073897,0.0816862153729261,Aalen-Johansen,0.087543
730,4,1,-0.04057032443470676,0.6856636755652933,Aalen-Johansen,0.726234
730,4,2,0.02997816356800155,0.14519416356800155,Aalen-Johansen,0.115216
730,4,3,0.01059216086670517,0.16914216086670517,Aalen-Johansen,0.15855
1095,4,1,-0.03108373634247752,0.6307902636575224,Aalen-Johansen,0.661874
1095,4,2,0.027150916368262168,0.13666191636826217,Aalen-Johansen,0.109511
1095,4,3,0.003932819974215324,0.23254781997421534,Aalen-Johansen,0.228615
1460,4,1,-0.04083430887803752,0.5756916911219625,Aalen-Johansen,0.616526
1460,4,2,-0.015901029686889792,0.08463897031311021,Aalen-Johansen,0.10054
1460,4,3,0.056735338564927185,0.3396693385649272,Aalen-Johansen,0.282934
1825,4,1,-0.04442516344857639,0.4946498365514236,Aalen-Johansen,0.539075
1825,4,2,-0.03235225817958934,0.07204874182041066,Aalen-Johansen,0.104401
1825,4,3,0.07677742162816553,0.43330142162816554,Aalen-Johansen,0.356524
365,5,1,-0.001250671979785123,0.8164523280202148,Aalen-Johansen,0.817703
365,5,2,-0.01298385038179331,0.0817701496182067,Aalen-Johansen,0.094754
365,5,3,0.014234522361578933,0.10177752236157893,Aalen-Johansen,0.087543
730,5,1,-0.009731006157649769,0.7165029938423503,Aalen-Johansen,0.726234
730,5,2,-0.014537797753337009,0.10067820224666299,Aalen-Johansen,0.115216
730,5,3,0.024268803910987485,0.18281880391098748,Aalen-Johansen,0.15855
1095,5,1,0.011641605380191988,0.673515605380192,Aalen-Johansen,0.661874
1095,5,2,-0.014435401839067483,0.09507559816093251,Aalen-Johansen,0.109511
1095,5,3,0.002793796458876313,0.23140879645887633,Aalen-Johansen,0.228615
1460,5,1,0.012236326274578047,0.6287623262745781,Aalen-Johansen,0.616526
1460,5,2,-0.014313716366858145,0.08622628363314186,Aalen-Johansen,0.10054
1460,5,3,0.002077390092280751,0.28501139009228077,Aalen-Johansen,0.282934
1825,5,1,0.009328544060208777,0.5484035440602087,Aalen-Johansen,0.539075
1825,5,2,-0.013928187782943746,0.09047281221705625,Aalen-Johansen,0.104401
1825,5,3,0.004599643722735525,0.36112364372273553,Aalen-Johansen,0.356524
365,6,1,-0.03156543342889773,0.7861375665711022,Aalen-Johansen,0.817703
365,6,2,0.009497330456917571,0.10425133045691758,Aalen-Johansen,0.094754
365,6,3,0.022068102971979933,0.10961110297197993,Aalen-Johansen,0.087543
730,6,1,0.0035397709629475527,0.7297737709629476,Aalen-Johansen,0.726234
730,6,2,-0.01980543583024197,0.09541056416975803,Aalen-Johansen,0.115216
730,6,3,0.016265664867293944,0.17481566486729394,Aalen-Johansen,0.15855
1095,6,1,-2.8328118156739635e-4,0.6615907188184326,Aalen-Johansen,0.661874
1095,6,2,-0.01802789620963606,0.09148310379036394,Aalen-Johansen,0.109511
1095,6,3,0.018311177391203193,0.2469261773912032,Aalen-Johansen,0.228615
1460,6,1,-0.01918680013483165,0.5973391998651684,Aalen-Johansen,0.616526
1460,6,2,-0.005340900341983049,0.09519909965801696,Aalen-Johansen,0.10054
1460,6,3,0.02452770047681435,0.30746170047681437,Aalen-Johansen,0.282934
1825,6,1,-0.04279037714712508,0.4962846228528749,Aalen-Johansen,0.539075
1825,6,2,-0.020552942008294176,0.08384805799170582,Aalen-Johansen,0.104401
1825,6,3,0.06334331915541891,0.4198673191554189,Aalen-Johansen,0.356524
365,7,1,0.026985616118586186,0.8446886161185861,Aalen-Johansen,0.817703
