time,simulation,state,bias,estimate,method,truth
365,1,1,-0.022016225403147405,0.5580417745968526,Aalen-Johansen,0.580058
365,1,2,0.0632958089897736,0.3383108089897736,Aalen-Johansen,0.275015
365,1,3,-0.04127958358662613,0.10364741641337387,Aalen-Johansen,0.144927
730,1,1,-0.003773596257702183,0.4273904037422978,Aalen-Johansen,0.431164
730,1,2,0.03687439559993305,0.32830539559993305,Aalen-Johansen,0.291431
730,1,3,-0.0331007993422309,0.24430420065776912,Aalen-Johansen,0.277405
1095,1,1,-0.10002566907363794,0.23269033092636207,Aalen-Johansen,0.332716
1095,1,2,0.13901612399730617,0.42665512399730615,Aalen-Johansen,0.287639
1095,1,3,-0.03899045492366826,0.34065454507633175,Aalen-Johansen,0.379645
1460,1,1,-0.11674580144418273,0.13961419855581725,Aalen-Johansen,0.25636
1460,1,2,0.10188899910871663,0.3792489991087166,Aalen-Johansen,0.27736
1460,1,3,0.014856802335466046,0.4811368023354661,Aalen-Johansen,0.46628000000000003
1825,1,1,-0.19793899999999998,3.100057956025132e-17,Aalen-Johansen,0.197939
1825,1,2,0.1836413978427906,0.4430133978427906,Aalen-Johansen,0.259372
1825,1,3,0.014297602157209433,0.5569866021572094,Aalen-Johansen,0.542689
365,2,1,-0.02445619724284187,0.5556018027571581,Aalen-Johansen,0.580058
365,2,2,9.694869693755437e-4,0.27598448696937555,Aalen-Johansen,0.275015
365,2,3,0.023486710273466382,0.16841371027346638,Aalen-Johansen,0.144927
730,2,1,-0.051529608782741876,0.3796343912172581,Aalen-Johansen,0.431164
730,2,2,-0.055315057028428205,0.2361159429715718,Aalen-Johansen,0.291431
730,2,3,0.10684466581117014,0.38424966581117015,Aalen-Johansen,0.277405
1095,2,1,-0.12033312379454092,0.2123828762054591,Aalen-Johansen,0.332716
1095,2,2,0.017961036171709077,0.30560003617170906,Aalen-Johansen,0.287639
1095,2,3,0.1023720876228319,0.4820170876228319,Aalen-Johansen,0.379645
1460,2,1,-0.12893027427672452,0.12742972572327546,Aalen-Johansen,0.25636
1460,2,2,0.030533256657022723,0.3078932566570227,Aalen-Johansen,0.27736
1460,2,3,0.09839701761970199,0.564677017619702,Aalen-Johansen,0.46628000000000003
1825,2,1,-0.07050927427672454,0.12742972572327546,Aalen-Johansen,0.197939
1825,2,2,-0.04824519543518446,0.21112680456481553,Aalen-Johansen,0.259372
1825,2,3,0.11875446971190917,0.6614434697119091,Aalen-Johansen,0.542689
365,3,1,0.09879643314406927,0.6788544331440692,Aalen-Johansen,0.580058
365,3,2,-0.04133988231664626,0.23367511768335375,Aalen-Johansen,0.275015
365,3,3,-0.057456550827423195,0.0874704491725768,Aalen-Johansen,0.144927
730,3,1,0.036351161731828896,0.4675151617318289,Aalen-Johansen,0.431164
730,3,2,0.009797867103310542,0.30122886710331054,Aalen-Johansen,0.291431
730,3,3,-0.0461490288351398,0.2312559711648602,Aalen-Johansen,0.277405
1095,3,1,0.0091544620163998,0.3418704620163998,Aalen-Johansen,0.332716
1095,3,2,0.09143130864345217,0.37907030864345215,Aalen-Johansen,0.287639
1095,3,3,-0.1005857706598523,0.2790592293401477,Aalen-Johansen,0.379645
1460,3,1,0.08551046201639984,0.3418704620163998,Aalen-Johansen,0.25636
1460,3,2,0.10171030864345215,0.37907030864345215,Aalen-Johansen,0.27736
1460,3,3,-0.18722077065985232,0.2790592293401477,Aalen-Johansen,0.46628000000000003
1825,3,1,0.05846384651229983,0.25640284651229983,Aalen-Johansen,0.197939
1825,3,2,0.043884246914761726,0.3032562469147617,Aalen-Johansen,0.259372
1825,3,3,-0.10234809342706186,0.4403409065729381,Aalen-Johansen,0.542689
365,4,1,-0.08344200135869567,0.4966159986413043,Aalen-Johansen,0.580058
365,4,2,0.08199926630434778,0.3570142663043478,Aalen-Johansen,0.275015
365,4,3,0.0014427350543478323,0.14636973505434783,Aalen-Johansen,0.144927
730,4,1,-0.0885312087296195,0.3426327912703805,Aalen-Johansen,0.431164
730,4,2,-6.003310770344439e-4,0.29083066892296555,Aalen-Johansen,0.291431
730,4,3,0.08913153980665395,0.36653653980665396,Aalen-Johansen,0.277405
1095,4,1,-0.11517137062198071,0.2175446293780193,Aalen-Johansen,0.332716
1095,4,2,0.08477090493972289,0.37240990493972287,Aalen-Johansen,0.287639
1095,4,3,0.03040046568225785,0.41004546568225786,Aalen-Johansen,0.379645
1460,4,1,-0.11133024708132042,0.14502975291867956,Aalen-Johansen,0.25636
1460,4,2,0.020567923951778255,0.29792792395177825,Aalen-Johansen,0.27736
