time,simulation,state,bias,estimate,method,truth
365,1,1,-0.02501180683435711,0.4990571931656429,Aalen-Johansen,0.524069
365,1,2,-0.0332637476359329,0.1645612523640671,Aalen-Johansen,0.197825
365,1,3,0.058275554470290536,0.3363815544702905,Aalen-Johansen,0.27810599999999996
730,1,1,0.00687481109304669,0.2312878110930467,Aalen-Johansen,0.224413
730,1,2,-0.029449105933045533,0.15763489406695447,Aalen-Johansen,0.187084
730,1,3,0.022574294839999287,0.6110772948399993,Aalen-Johansen,0.588503
1095,1,1,-0.02343649079105488,0.07508850920894512,Aalen-Johansen,0.098525
1095,1,2,-0.017298530716857635,0.11377246928314236,Aalen-Johansen,0.131071
1095,1,3,0.04073502150791297,0.811139021507913,Aalen-Johansen,0.770404
1460,1,1,-0.021062107814717713,0.022614892185282287,Aalen-Johansen,0.043677
1460,1,2,-0.015893897801660936,0.06589910219833907,Aalen-Johansen,0.081793
1460,1,3,0.036956005616378906,0.9114860056163789,Aalen-Johansen,0.87453
1825,1,1,-0.013632276953679428,0.0056537230463205735,Aalen-Johansen,0.019286
1825,1,2,0.00261582194087652,0.05048682194087652,Aalen-Johansen,0.047871
1825,1,3,0.01101645501280335,0.9438594550128034,Aalen-Johansen,0.9328430000000001
365,2,1,0.014187536462903494,0.5382565364629035,Aalen-Johansen,0.524069
365,2,2,0.00984512959718592,0.20767012959718592,Aalen-Johansen,0.197825
365,2,3,-0.02403266606008886,0.2540733339399111,Aalen-Johansen,0.27810599999999996
730,2,1,-0.006712135959003301,0.2177008640409967,Aalen-Johansen,0.224413
730,2,2,-0.017354526632918782,0.16972947336708122,Aalen-Johansen,0.187084
730,2,3,0.024066662591922472,0.6125696625919225,Aalen-Johansen,0.588503
1095,2,1,0.00900972737221388,0.10753472737221388,Aalen-Johansen,0.098525
1095,2,2,-0.027035636741451943,0.10403536325854805,Aalen-Johansen,0.131071
1095,2,3,0.01802590936923898,0.788429909369239,Aalen-Johansen,0.770404
1460,2,1,-0.0016366744841139133,0.04204032551588609,Aalen-Johansen,0.043677
1460,2,2,-0.004867224331875641,0.07692577566812436,Aalen-Johansen,0.081793
1460,2,3,0.006503898815990339,0.8810338988159904,Aalen-Johansen,0.87453
1825,2,1,0.0047370431519349054,0.024023043151934906,Aalen-Johansen,0.019286
1825,2,2,-0.021363021485192348,0.02650797851480765,Aalen-Johansen,0.047871
1825,2,3,0.016625978333258296,0.9494689783332584,Aalen-Johansen,0.9328430000000001
365,3,1,-0.007968302757332957,0.516100697242667,Aalen-Johansen,0.524069
365,3,2,0.014317649634707635,0.21214264963470764,Aalen-Johansen,0.197825
365,3,3,-0.006349346877374706,0.27175665312262526,Aalen-Johansen,0.27810599999999996
730,3,1,-0.02867662987035602,0.19573637012964398,Aalen-Johansen,0.224413
730,3,2,0.057498024357934996,0.244582024357935,Aalen-Johansen,0.187084
730,3,3,-0.028821394487579033,0.559681605512421,Aalen-Johansen,0.588503
1095,3,1,0.013671330925365016,0.11219633092536502,Aalen-Johansen,0.098525
1095,3,2,0.007527182468555327,0.13859818246855532,Aalen-Johansen,0.131071
1095,3,3,-0.021198513393920537,0.7492054866060794,Aalen-Johansen,0.770404
1460,3,1,0.0020326163029265112,0.04570961630292651,Aalen-Johansen,0.043677
1460,3,2,0.0026885085342136378,0.08448150853421364,Aalen-Johansen,0.081793
1460,3,3,-0.004721124837140156,0.8698088751628599,Aalen-Johansen,0.87453
1825,3,1,0.013437929853231483,0.032723929853231484,Aalen-Johansen,0.019286
1825,3,2,0.02534726097137352,0.07321826097137352,Aalen-Johansen,0.047871
1825,3,3,-0.038785190824604965,0.8940578091753951,Aalen-Johansen,0.9328430000000001
