time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,-0.009712087382076628,0.9228769126179234,0.932589
365,1,Aalen-Johansen,2,0.011449087382076575,0.07712308738207657,0.065674
365,1,Aalen-Johansen,3,-0.001737,0,0.001737
730,1,Aalen-Johansen,1,0.019486689630248466,0.8931066896302484,0.87362
730,1,Aalen-Johansen,2,-0.011257689630248466,0.10689331036975154,0.118151
730,1,Aalen-Johansen,3,-0.008229,0,0.008229
1095,1,Aalen-Johansen,1,-0.011863536321115808,0.7984024636788842,0.810266
1095,1,Aalen-Johansen,2,0.0304165363211156,0.2015975363211156,0.171181
1095,1,Aalen-Johansen,3,-0.018553,0,0.018553
1460,1,Aalen-Johansen,1,-0.06617956225281618,0.6899774377471838,0.756157
1460,1,Aalen-Johansen,2,0.09051356225281593,0.31002256225281594,0.219509
1460,1,Aalen-Johansen,3,-0.024334,0,0.024334
1825,1,Aalen-Johansen,1,-0.016055562252816236,0.6899774377471838,0.706033
1825,1,Aalen-Johansen,2,0.04635856225281593,0.31002256225281594,0.263664
1825,1,Aalen-Johansen,3,-0.030303,0,0.030303
365,2,Aalen-Johansen,1,0.025411886524822735,0.9580008865248227,0.932589
365,2,Aalen-Johansen,2,-0.023674886524822733,0.04199911347517726,0.065674
365,2,Aalen-Johansen,3,-0.001737,0,0.001737
730,2,Aalen-Johansen,1,0.011152116238454357,0.8847721162384543,0.87362
730,2,Aalen-Johansen,2,-0.002923116238454357,0.11522788376154565,0.118151
730,2,Aalen-Johansen,3,-0.008229,0,0.008229
1095,2,Aalen-Johansen,1,0.05841935048866431,0.8686853504886644,0.810266
1095,2,Aalen-Johansen,2,-0.039866350488664326,0.13131464951133567,0.171181
1095,2,Aalen-Johansen,3,-0.018553,0,0.018553
1460,2,Aalen-Johansen,1,0.056363349379483396,0.8125203493794834,0.756157
1460,2,Aalen-Johansen,2,-0.06327595781623613,0.15623304218376388,0.219509
1460,2,Aalen-Johansen,3,0.00691260843675276,0.03124660843675276,0.024334
1825,2,Aalen-Johansen,1,0.10648734937948334,0.8125203493794834,0.706033
1825,2,Aalen-Johansen,2,-0.10743095781623613,0.15623304218376388,0.263664
1825,2,Aalen-Johansen,3,9.43608436752761e-4,0.03124660843675276,0.030303
365,3,Aalen-Johansen,1,-0.007784189708391787,0.9248048102916082,0.932589
365,3,Aalen-Johansen,2,0.00952118970839154,0.07519518970839154,0.065674
365,3,Aalen-Johansen,3,-0.001737,0,0.001737
730,3,Aalen-Johansen,1,3.43571140328236e-4,0.8739635711403282,0.87362
730,3,Aalen-Johansen,2,0.007885428859671528,0.12603642885967153,0.118151
730,3,Aalen-Johansen,3,-0.008229,0,0.008229
1095,3,Aalen-Johansen,1,0.03182670153367184,0.8420927015336719,0.810266
1095,3,Aalen-Johansen,2,-0.013273701533672105,0.1579072984663279,0.171181
1095,3,Aalen-Johansen,3,-0.018553,0,0.018553
1460,3,Aalen-Johansen,1,0.04275146042938105,0.798908460429381,0.756157
1460,3,Aalen-Johansen,2,-0.018417460429381277,0.20109153957061873,0.219509
1460,3,Aalen-Johansen,3,-0.024334,0,0.024334
1825,3,Aalen-Johansen,1,0.03425989403918184,0.7402928940391819,0.706033
1825,3,Aalen-Johansen,2,-0.024507569399094598,0.2391564306009054,0.263664
1825,3,Aalen-Johansen,3,-0.009752324640087549,0.02055067535991245,0.030303
365,4,Aalen-Johansen,1,-0.017615620670402232,0.9149733793295978,0.932589
365,4,Aalen-Johansen,2,0.01935262067040225,0.08502662067040224,0.065674
365,4,Aalen-Johansen,3,-0.001737,0,0.001737
730,4,Aalen-Johansen,1,-0.041401692290386816,0.8322183077096131,0.87362
730,4,Aalen-Johansen,2,0.04963069229038686,0.16778169229038686,0.118151
730,4,Aalen-Johansen,3,-0.008229,0,0.008229
