time,simulation,state,bias,estimate,method,truth
365,1,1,-0.009712087382076628,0.9228769126179234,Aalen-Johansen,0.932589
365,1,2,0.011441087382076567,0.07712308738207657,Aalen-Johansen,0.065682
365,1,3,-0.001729,0,Aalen-Johansen,0.001729
730,1,1,0.019486689630248466,0.8931066896302484,Aalen-Johansen,0.87362
730,1,2,-0.011208689630248458,0.10689331036975154,Aalen-Johansen,0.118102
730,1,3,-0.008278,0,Aalen-Johansen,0.008278
1095,1,1,-0.011863536321115808,0.7984024636788842,Aalen-Johansen,0.810266
1095,1,2,0.030367536321115607,0.2015975363211156,Aalen-Johansen,0.17123
1095,1,3,-0.018504,0,Aalen-Johansen,0.018504
1460,1,1,-0.06617956225281618,0.6899774377471838,Aalen-Johansen,0.756157
1460,1,2,0.051651741971213944,0.27126974197121395,Aalen-Johansen,0.219618
1460,1,3,0.014527820281601978,0.03875282028160198,Aalen-Johansen,0.024225
1825,1,1,-0.016055562252816236,0.6899774377471838,Aalen-Johansen,0.706033
1825,1,2,0.007502741971213978,0.27126974197121395,Aalen-Johansen,0.263767
1825,1,3,0.00855282028160198,0.03875282028160198,Aalen-Johansen,0.030199999999999998
365,2,1,0.025411886524822735,0.9580008865248227,Aalen-Johansen,0.932589
365,2,2,-0.02368288652482274,0.04199911347517726,Aalen-Johansen,0.065682
365,2,3,-0.001729,0,Aalen-Johansen,0.001729
730,2,1,0.011152116238454357,0.8847721162384543,Aalen-Johansen,0.87362
730,2,2,-0.020557437740833448,0.09754456225916655,Aalen-Johansen,0.118102
730,2,3,0.009405321502379098,0.0176833215023791,Aalen-Johansen,0.008278
1095,2,1,0.05841935048866431,0.8686853504886644,Aalen-Johansen,0.810266
1095,2,2,-0.057598671991043404,0.11363132800895659,Aalen-Johansen,0.17123
1095,2,3,-8.206784976209011e-4,0.0176833215023791,Aalen-Johansen,0.018504
1460,2,1,0.056363349379483396,0.8125203493794834,Aalen-Johansen,0.756157
1460,2,2,-0.049821670881862457,0.16979632911813755,Aalen-Johansen,0.219618
1460,2,3,-0.0065416784976209015,0.0176833215023791,Aalen-Johansen,0.024225
1825,2,1,0.10648734937948334,0.8125203493794834,Aalen-Johansen,0.706033
1825,2,2,-0.09397067088186242,0.16979632911813755,Aalen-Johansen,0.263767
1825,2,3,-0.0125166784976209,0.0176833215023791,Aalen-Johansen,0.030199999999999998
365,3,1,-0.007784189708391787,0.9248048102916082,Aalen-Johansen,0.932589
365,3,2,0.009513189708391531,0.07519518970839154,Aalen-Johansen,0.065682
365,3,3,-0.001729,0,Aalen-Johansen,0.001729
730,3,1,3.43571140328236e-4,0.8739635711403282,Aalen-Johansen,0.87362
730,3,2,-0.004508158725932104,0.1135938412740679,Aalen-Johansen,0.118102
730,3,3,0.004164587585603629,0.01244258758560363,Aalen-Johansen,0.008278
1095,3,1,0.03182670153367184,0.8420927015336719,Aalen-Johansen,0.810266
1095,3,2,-0.025765289119275725,0.14546471088072427,Aalen-Johansen,0.17123
1095,3,3,-0.00606141241439637,0.01244258758560363,Aalen-Johansen,0.018504
1460,3,1,0.04275146042938105,0.798908460429381,Aalen-Johansen,0.756157
1460,3,2,-0.0309690480149849,0.1886489519850151,Aalen-Johansen,0.219618
1460,3,3,-0.01178241241439637,0.01244258758560363,Aalen-Johansen,0.024225
1825,3,1,0.03425989403918184,0.7402928940391819,Aalen-Johansen,0.706033
1825,3,2,-0.016502481624785736,0.24726451837521424,Aalen-Johansen,0.263767
1825,3,3,-0.017757412414396368,0.01244258758560363,Aalen-Johansen,0.030199999999999998
365,4,1,-0.017615620670402232,0.9149733793295978,Aalen-Johansen,0.932589
365,4,2,0.008716293086601962,0.07439829308660197,Aalen-Johansen,0.065682
365,4,3,0.008899327583800276,0.010628327583800275,Aalen-Johansen,0.001729
730,4,1,-0.041401692290386816,0.8322183077096131,Aalen-Johansen,0.87362
730,4,2,0.039051364706586586,0.15715336470658658,Aalen-Johansen,0.118102
730,4,3,0.0023503275838002748,0.010628327583800275,Aalen-Johansen,0.008278
1095,4,1,-0.034996501156082105,0.7752694988439179,Aalen-Johansen,0.810266
1095,4,2,0.04287217357228179,0.21410217357228178,Aalen-Johansen,0.17123
1095,4,3,-0.007875672416199724,0.010628327583800275,Aalen-Johansen,0.018504
1460,4,1,-0.009601186298449305,0.7465558137015507,Aalen-Johansen,0.756157
1460,4,2,0.023197858714649106,0.2428158587146491,Aalen-Johansen,0.219618
1460,4,3,-0.013596672416199725,0.010628327583800275,Aalen-Johansen,0.024225
1825,4,1,0.04052281370155064,0.7465558137015507,Aalen-Johansen,0.706033
1825,4,2,-0.02095114128535086,0.2428158587146491,Aalen-Johansen,0.263767
1825,4,3,-0.019571672416199722,0.010628327583800275,Aalen-Johansen,0.030199999999999998
365,5,1,0.045656278508247716,0.9782452785082477,Aalen-Johansen,0.932589
365,5,2,-0.043927278508247715,0.02175472149175229,Aalen-Johansen,0.065682
365,5,3,-0.001729,0,Aalen-Johansen,0.001729
730,5,1,0.0422014023183056,0.9158214023183056,Aalen-Johansen,0.87362
730,5,2,-0.03392340231830562,0.08417859768169438,Aalen-Johansen,0.118102
730,5,3,-0.008278,0,Aalen-Johansen,0.008278
1095,5,1,0.044500642163751936,0.854766642163752,Aalen-Johansen,0.810266
1095,5,2,-0.025996642163751943,0.14523335783624805,Aalen-Johansen,0.17123
1095,5,3,-0.018504,0,Aalen-Johansen,0.018504
1460,5,1,0.045815231912461396,0.8019722319124614,Aalen-Johansen,0.756157
1460,5,2,-0.021590231912461372,0.19802776808753864,Aalen-Johansen,0.219618
1460,5,3,-0.024225,0,Aalen-Johansen,0.024225
1825,5,1,0.06107087400322386,0.7671038740032239,Aalen-Johansen,0.706033
