time,simulation,state,bias,estimate,method,truth
365,1,1,-0.015181141707928392,0.8769998582920716,Aalen-Johansen,0.892181
365,1,2,0.016995929280532715,0.08008492928053272,Aalen-Johansen,0.063089
365,1,3,-0.0018147875726051213,0.04291521242739488,Aalen-Johansen,0.04473
730,1,1,-0.02182954953562266,0.7604694504643773,Aalen-Johansen,0.782299
730,1,2,0.016007036528821586,0.13139003652882159,Aalen-Johansen,0.115383
730,1,3,0.005822513006800867,0.10814051300680086,Aalen-Johansen,0.10231799999999999
1095,1,1,-0.01584289588835408,0.6932111041116459,Aalen-Johansen,0.709054
1095,1,2,0.01632776565070601,0.143261765650706,Aalen-Johansen,0.126934
1095,1,3,-4.848697623521525e-4,0.16352713023764784,Aalen-Johansen,0.164012
1460,1,1,-0.02467210983461343,0.6490328901653866,Aalen-Johansen,0.673705
1460,1,2,0.00862854095199056,0.12491254095199056,Aalen-Johansen,0.116284
1460,1,3,0.01604356888262254,0.22605456888262254,Aalen-Johansen,0.210011
1825,1,1,-0.023443308838639987,0.61660169116136,Aalen-Johansen,0.640045
1825,1,2,0.005505632640073449,0.11753763264007346,Aalen-Johansen,0.112032
1825,1,3,0.01793767619856612,0.2658606761985661,Aalen-Johansen,0.247923
365,2,1,0.008111424271707635,0.9002924242717076,Aalen-Johansen,0.892181
365,2,2,2.150477341236745e-4,0.06330404773412368,Aalen-Johansen,0.063089
365,2,3,-0.008326472005831746,0.03640352799416825,Aalen-Johansen,0.04473
730,2,1,0.014480795710435035,0.796779795710435,Aalen-Johansen,0.782299
730,2,2,-0.0014029262348012328,0.11398007376519877,Aalen-Johansen,0.115383
730,2,3,-0.013077869475634121,0.08924013052436587,Aalen-Johansen,0.10231799999999999
1095,2,1,0.0052890919460816255,0.7143430919460816,Aalen-Johansen,0.709054
1095,2,2,-0.005023929502341498,0.1219100704976585,Aalen-Johansen,0.126934
1095,2,3,-2.651624437407518e-4,0.16374683755625924,Aalen-Johansen,0.164012
1460,2,1,0.004616606109422716,0.6783216061094227,Aalen-Johansen,0.673705
1460,2,2,0.00156566386725078,0.11784966386725078,Aalen-Johansen,0.116284
1460,2,3,-0.0061822699766743705,0.20382873002332563,Aalen-Johansen,0.210011
1825,2,1,-0.012873877906285247,0.6271711220937147,Aalen-Johansen,0.640045
