time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,KICH,MSMI-Marginal,50,5,0.9612068965517241,53.6
730,KICH,MSMI-Marginal,50,5,0.9701492537313433,33
1095,KICH,MSMI-Marginal,50,5,0.964824120603015,20.4
1460,KICH,MSMI-Marginal,50,5,0.9539951573849879,17.4
1825,KICH,MSMI-Marginal,50,5,0.9629629629629629,19
365,KICH,AJ,50,5,0.9401709401709402,53.2
730,KICH,AJ,50,5,0.9622093023255814,31.2
1095,KICH,AJ,50,5,0.9527363184079602,19.6
1460,KICH,AJ,50,5,0.9435294117647058,15
1825,KICH,AJ,50,5,0.9414519906323185,14.6
