time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,KIRC,500,10,0.94,0
730,MSMI-Cox,KIRC,500,10,0.95,0
1095,MSMI-Cox,KIRC,500,10,0.958,0
1460,MSMI-Cox,KIRC,500,10,0.944,0
1825,MSMI-Cox,KIRC,500,10,0.936,0
365,MSMI-Marginal,KIRC,500,10,0.942,0
730,MSMI-Marginal,KIRC,500,10,0.948,0
1095,MSMI-Marginal,KIRC,500,10,0.956,0
1460,MSMI-Marginal,KIRC,500,10,0.946,0
1825,MSMI-Marginal,KIRC,500,10,0.934,0
365,AJ,KIRC,500,10,0.938,0
730,AJ,KIRC,500,10,0.946,0
1095,AJ,KIRC,500,10,0.96,0
1460,AJ,KIRC,500,10,0.946,0
1825,AJ,KIRC,500,10,0.95,0
