time,method,cancer_type,sample_size,n_imps,coverage,undefined_region_pct
365,MSMI-Cox,PRAD,100,30,0.5853658536585366,75.4
730,MSMI-Cox,PRAD,100,30,0.5045045045045045,33.4
1095,MSMI-Cox,PRAD,100,30,0.4918793503480278,13.8
1460,MSMI-Cox,PRAD,100,30,0.5032967032967033,9
1825,MSMI-Cox,PRAD,100,30,0.4742489270386266,6.800000000000001
365,MSMI-Marginal,PRAD,100,30,0.5853658536585366,75.4
730,MSMI-Marginal,PRAD,100,30,0.5045045045045045,33.4
1095,MSMI-Marginal,PRAD,100,30,0.4918793503480278,13.8
1460,MSMI-Marginal,PRAD,100,30,0.5032967032967033,9
1825,MSMI-Marginal,PRAD,100,30,0.4742489270386266,6.800000000000001
365,AJ,PRAD,100,30,0.875,85.6
730,AJ,PRAD,100,30,0.9351851851851852,56.8
1095,AJ,PRAD,100,30,0.9507246376811594,31
1460,AJ,PRAD,100,30,0.9567567567567568,26
1825,AJ,PRAD,100,30,0.9557291666666666,23.200000000000003
