time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,100,10,0.9655870445344129,1.2
730,UCEC,MSMI-Marginal,100,10,0.962,0
1095,UCEC,MSMI-Marginal,100,10,0.9599198396793587,0.2
1460,UCEC,MSMI-Marginal,100,10,0.9373737373737374,1
1825,UCEC,MSMI-Marginal,100,10,0.917864476386037,2.6
365,UCEC,AJ,100,10,0.9615384615384616,1.2
730,UCEC,AJ,100,10,0.958,0
1095,UCEC,AJ,100,10,0.95,0
1460,UCEC,AJ,100,10,0.9536290322580645,0.8
1825,UCEC,AJ,100,10,0.9428571428571428,2
