time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,-0.010004531914893477,0.9395744680851065,0.949579
365,1,Aalen-Johansen,2,0.0069755319148935915,0.04042553191489359,0.03345
365,1,Aalen-Johansen,3,0.0030290000000000213,0.02000000000000002,0.016971
730,1,Aalen-Johansen,1,-0.005849822695035312,0.9134751773049646,0.919325
730,1,Aalen-Johansen,2,-0.025282234042553205,0.020212765957446796,0.045495
730,1,Aalen-Johansen,3,0.031132056737588662,0.06631205673758866,0.03518
1095,1,Aalen-Johansen,1,0.02432417730496461,0.9134751773049646,0.889151
1095,1,Aalen-Johansen,2,-0.036870234042553206,0.020212765957446796,0.057083
1095,1,Aalen-Johansen,3,0.012546056737588664,0.06631205673758866,0.053766
1460,1,Aalen-Johansen,1,0.018468078014184486,0.8849290780141845,0.866461
1460,1,Aalen-Johansen,2,-0.022308134751773047,0.04875886524822696,0.071067
1460,1,Aalen-Johansen,3,0.003840056737588665,0.06631205673758866,0.062472
1825,1,Aalen-Johansen,1,0.008878468085106506,0.8533244680851065,0.844446
1825,1,Aalen-Johansen,2,-0.00609752482269503,0.08036347517730497,0.086461
1825,1,Aalen-Johansen,3,-0.0027809432624113367,0.06631205673758866,0.069093
365,2,Aalen-Johansen,1,0.02958766666666668,0.9791666666666666,0.949579
365,2,Aalen-Johansen,2,-0.012616666666666613,0.020833333333333388,0.03345
365,2,Aalen-Johansen,3,-0.016971,0,0.016971
730,2,Aalen-Johansen,1,0.011465077131540546,0.9307900771315405,0.919325
730,2,Aalen-Johansen,2,0.02371492286845949,0.06920992286845949,0.045495
730,2,Aalen-Johansen,3,-0.03518,0,0.03518
1095,2,Aalen-Johansen,1,-0.011548927275976006,0.877602072724024,0.889151
1095,2,Aalen-Johansen,2,0.06531492727597604,0.12239792727597605,0.057083
1095,2,Aalen-Johansen,3,-0.053766,0,0.053766
1460,2,Aalen-Johansen,1,0.011141072724023982,0.877602072724024,0.866461
1460,2,Aalen-Johansen,2,0.002371756365585634,0.07343875636558564,0.071067
1460,2,Aalen-Johansen,3,-0.01351282908960958,0.04895917091039042,0.062472
1825,2,Aalen-Johansen,1,-0.035758192602061256,0.8086878073979388,0.844446
1825,2,Aalen-Johansen,2,0.055892021691670804,0.1423530216916708,0.086461
1825,2,Aalen-Johansen,3,-0.020133829089609583,0.04895917091039042,0.069093
365,3,Aalen-Johansen,1,0.030012836734693904,0.9795918367346939,0.949579
365,3,Aalen-Johansen,2,-0.03345,0,0.03345
365,3,Aalen-Johansen,3,0.003437163265306145,0.020408163265306145,0.016971
730,3,Aalen-Johansen,1,-0.009875296005795176,0.9094497039942048,0.919325
730,3,Aalen-Johansen,2,0.02464713274048904,0.07014213274048904,0.045495
730,3,Aalen-Johansen,3,-0.014771836734693858,0.020408163265306145,0.03518
1095,3,Aalen-Johansen,1,-0.00496378778341211,0.8841872122165879,0.889151
1095,3,Aalen-Johansen,2,0.01305913274048904,0.07014213274048904,0.057083
1095,3,Aalen-Johansen,3,-0.008095344957077012,0.04567065504292299,0.053766
1460,3,Aalen-Johansen,1,-0.015021462309952494,0.8514395376900475,0.866461
1460,3,Aalen-Johansen,2,0.03182280726702939,0.1028898072670294,0.071067
1460,3,Aalen-Johansen,3,-0.01680134495707701,0.04567065504292299,0.062472
1825,3,Aalen-Johansen,1,0.006993537690047513,0.8514395376900475,0.844446
1825,3,Aalen-Johansen,2,0.016428807267029402,0.1028898072670294,0.086461
1825,3,Aalen-Johansen,3,-0.023422344957077013,0.04567065504292299,0.069093
365,4,Aalen-Johansen,1,-0.015023626295690096,0.9345553737043099,0.949579
365,4,Aalen-Johansen,2,-0.013024468085106398,0.020425531914893602,0.03345
365,4,Aalen-Johansen,3,0.02804809438079653,0.04501909438079653,0.016971
730,4,Aalen-Johansen,1,-0.011471208401527488,0.9078537915984725,0.919325
730,4,Aalen-Johansen,2,0.0016321140207310111,0.04712711402073101,0.045495
730,4,Aalen-Johansen,3,0.009839094380796526,0.04501909438079653,0.03518
1095,4,Aalen-Johansen,1,0.018702791598472435,0.9078537915984725,0.889151
1095,4,Aalen-Johansen,2,-0.00995588597926899,0.04712711402073101,0.057083
1095,4,Aalen-Johansen,3,-0.008746905619203472,0.04501909438079653,0.053766
1460,4,Aalen-Johansen,1,0.005078639934533502,0.8715396399345335,0.866461
1460,4,Aalen-Johansen,2,0.012374265684669997,0.08344126568467,0.071067
1460,4,Aalen-Johansen,3,-0.01745290561920347,0.04501909438079653,0.062472
1825,4,Aalen-Johansen,1,-0.04869241571194771,0.7957535842880523,0.844446
1825,4,Aalen-Johansen,2,0.0727663213311512,0.1592273213311512,0.086461
1825,4,Aalen-Johansen,3,-0.024073905619203473,0.04501909438079653,0.069093
365,5,Aalen-Johansen,1,0.00491835449735456,0.9544973544973545,0.949579
365,5,Aalen-Johansen,2,0.01205264550264546,0.04550264550264546,0.03345
365,5,Aalen-Johansen,3,-0.016971,0,0.016971
730,5,Aalen-Johansen,1,0.03517235449735456,0.9544973544973545,0.919325
730,5,Aalen-Johansen,2,-0.02274367724867727,0.02275132275132273,0.045495
730,5,Aalen-Johansen,3,-0.012428677248677272,0.02275132275132273,0.03518
1095,5,Aalen-Johansen,1,0.008592457743457738,0.8977434577434578,0.889151
1095,5,Aalen-Johansen,2,-0.003375006292006301,0.0537079937079937,0.057083
1095,5,Aalen-Johansen,3,-0.005217451451451513,0.04854854854854849,0.053766
1460,5,Aalen-Johansen,1,0.031282457743457726,0.8977434577434578,0.866461
1460,5,Aalen-Johansen,2,-0.017359006292006304,0.0537079937079937,0.071067
1460,5,Aalen-Johansen,3,-0.013923451451451511,0.04854854854854849,0.062472
1825,5,Aalen-Johansen,1,0.05329745774345773,0.8977434577434578,0.844446
1825,5,Aalen-Johansen,2,-0.032753006292006295,0.0537079937079937,0.086461
1825,5,Aalen-Johansen,3,-0.020544451451451513,0.04854854854854849,0.069093
365,6,Aalen-Johansen,1,-0.0313584970986458,0.9182205029013542,0.949579
365,6,Aalen-Johansen,2,0.026975531914893575,0.060425531914893575,0.03345
365,6,Aalen-Johansen,3,0.004382965183752384,0.021353965183752384,0.016971
730,6,Aalen-Johansen,1,-0.023500119120630103,0.8958248808793698,0.919325
730,6,Aalen-Johansen,2,0.03732615393687783,0.08282115393687783,0.045495
730,6,Aalen-Johansen,3,-0.013826034816247619,0.021353965183752384,0.03518
1095,6,Aalen-Johansen,1,-0.09994821284042188,0.7892027871595781,0.889151
1095,6,Aalen-Johansen,2,0.016295293757623182,0.07337829375762318,0.057083
1095,6,Aalen-Johansen,3,0.08365291908279865,0.13741891908279866,0.053766
1460,6,Aalen-Johansen,1,-0.10761216619271341,0.7588488338072866,0.866461
1460,6,Aalen-Johansen,2,0.03266524710991467,0.10373224710991467,0.071067
1460,6,Aalen-Johansen,3,0.07494691908279866,0.13741891908279866,0.062472
1825,6,Aalen-Johansen,1,-0.0855971661927134,0.7588488338072866,0.844446
1825,6,Aalen-Johansen,2,0.017271247109914678,0.10373224710991467,0.086461
1825,6,Aalen-Johansen,3,0.06832591908279866,0.13741891908279866,0.069093
365,7,Aalen-Johansen,1,-0.01254196296296306,0.9370370370370369,0.949579
365,7,Aalen-Johansen,2,0.029512962962963026,0.06296296296296303,0.03345
365,7,Aalen-Johansen,3,-0.016971,0,0.016971
730,7,Aalen-Johansen,1,-0.006946832358674548,0.9123781676413254,0.919325
730,7,Aalen-Johansen,2,-0.014013518518518488,0.03148148148148151,0.045495
730,7,Aalen-Johansen,3,0.020960350877193,0.056140350877193004,0.03518
1095,7,Aalen-Johansen,1,0.023227167641325375,0.9123781676413254,0.889151
1095,7,Aalen-Johansen,2,-0.02560151851851849,0.03148148148148151,0.057083
1095,7,Aalen-Johansen,3,0.002374350877193003,0.056140350877193004,0.053766
1460,7,Aalen-Johansen,1,0.04591716764132536,0.9123781676413254,0.866461
1460,7,Aalen-Johansen,2,-0.03958551851851849,0.03148148148148151,0.071067
1460,7,Aalen-Johansen,3,-0.0063316491228069954,0.056140350877193004,0.062472
1825,7,Aalen-Johansen,1,0.026460432748538043,0.8709064327485381,0.844446
1825,7,Aalen-Johansen,2,-0.04498926510721258,0.04147173489278742,0.086461
1825,7,Aalen-Johansen,3,0.018528832358674516,0.08762183235867452,0.069093
365,8,Aalen-Johansen,1,-0.011281127659574453,0.9382978723404255,0.949579
365,8,Aalen-Johansen,2,-0.012598936170212731,0.02085106382978727,0.03345
365,8,Aalen-Johansen,3,0.023880063829787232,0.04085106382978723,0.016971
730,8,Aalen-Johansen,1,-0.03464414893617018,0.8846808510638298,0.919325
730,8,Aalen-Johansen,2,0.0021645744680850523,0.04765957446808505,0.045495
730,8,Aalen-Johansen,3,0.03247957446808507,0.06765957446808507,0.03518
1095,8,Aalen-Johansen,1,-0.034976385179750547,0.8541746148202495,0.889151
1095,8,Aalen-Johansen,2,-0.009423425531914949,0.04765957446808505,0.057083
1095,8,Aalen-Johansen,3,0.04439981071166541,0.09816581071166541,0.053766
1460,8,Aalen-Johansen,1,-0.012286385179750559,0.8541746148202495,0.866461
1460,8,Aalen-Johansen,2,-0.023407425531914952,0.04765957446808505,0.071067
1460,8,Aalen-Johansen,3,0.035693810711665414,0.09816581071166541,0.062472
1825,8,Aalen-Johansen,1,-0.02443836977256053,0.8200076302274395,0.844446
1825,8,Aalen-Johansen,2,-0.004634440939104964,0.08182655906089503,0.086461
1825,8,Aalen-Johansen,3,0.02907281071166541,0.09816581071166541,0.069093
365,9,Aalen-Johansen,1,-0.011397181818181834,0.9381818181818181,0.949579
365,9,Aalen-Johansen,2,0.008368181818181782,0.04181818181818178,0.03345
365,9,Aalen-Johansen,3,0.003029000000000049,0.02000000000000005,0.016971
730,9,Aalen-Johansen,1,0.01885681818181817,0.9381818181818181,0.919325
730,9,Aalen-Johansen,2,-0.0036768181818182186,0.04181818181818178,0.045495
730,9,Aalen-Johansen,3,-0.015179999999999954,0.02000000000000005,0.03518
1095,9,Aalen-Johansen,1,0.01667972100313464,0.9058307210031347,0.889151
1095,9,Aalen-Johansen,2,0.017086278996865205,0.0741692789968652,0.057083
1095,9,Aalen-Johansen,3,-0.03376599999999995,0.02000000000000005,0.053766
1460,9,Aalen-Johansen,1,-0.06805251193633965,0.7984084880636604,0.866461
1460,9,Aalen-Johansen,2,0.07568486882083432,0.14675186882083432,0.071067
1460,9,Aalen-Johansen,3,-0.0076323568844948175,0.05483964311550518,0.062472
1825,9,Aalen-Johansen,1,-0.04603751193633965,0.7984084880636604,0.844446
1825,9,Aalen-Johansen,2,0.06029086882083433,0.14675186882083432,0.086461
1825,9,Aalen-Johansen,3,-0.01425335688449482,0.05483964311550518,0.069093
365,10,Aalen-Johansen,1,-0.009578999999999893,0.9400000000000001,0.949579
365,10,Aalen-Johansen,2,-0.013449999999999997,0.020000000000000004,0.03345
365,10,Aalen-Johansen,3,0.023029,0.04,0.016971
730,10,Aalen-Johansen,1,-0.04662045454545438,0.8727045454545456,0.919325
730,10,Aalen-Johansen,2,0.018834545454545444,0.06432954545454544,0.045495
730,10,Aalen-Johansen,3,0.027785909090909125,0.06296590909090913,0.03518
1095,10,Aalen-Johansen,1,-0.13127599999999984,0.7578750000000002,0.889151
1095,10,Aalen-Johansen,2,0.07614427272727275,0.13322727272727275,0.057083
