time,simulation,method,state,bias,estimate,truth
365,1,AJ,1,-0.05504760171816192,0.525010398281838,0.580058
365,1,AJ,2,0.09801226409527913,0.37296926409527914,0.274957
365,1,AJ,3,-0.04296466237711721,0.10202033762288279,0.144985
730,1,AJ,1,-0.12729894952048282,0.3038650504795172,0.431164
730,1,AJ,2,0.2264616540085853,0.5178416540085853,0.29138
730,1,AJ,3,-0.0991627044881026,0.17829329551189743,0.27745600000000004
1095,1,AJ,1,-0.028850949520482838,0.3038650504795172,0.332716
1095,1,AJ,2,0.19063068062330946,0.47800768062330945,0.287377
1095,1,AJ,3,-0.16177973110282673,0.21812726889717327,0.379907
1460,1,AJ,1,-0.08754608306693487,0.1688139169330651,0.25636
1460,1,AJ,2,0.1935513717561922,0.4710483717561922,0.277497
1460,1,AJ,3,-0.1060052886892574,0.36013771131074257,0.466143
1825,1,AJ,1,-0.029125083066934898,0.1688139169330651,0.197939
1825,1,AJ,2,-0.007955201730030781,0.2512257982699692,0.259181
1825,1,AJ,3,0.03708028479696557,0.5799602847969656,0.54288
365,2,AJ,1,-0.016982070039538444,0.5630759299604615,0.580058
365,2,AJ,2,0.05704473857510861,0.3320017385751086,0.274957
365,2,AJ,3,-0.04006266853557015,0.10492233146442985,0.144985
730,2,AJ,1,-0.047121637055736854,0.38404236294426314,0.431164
730,2,AJ,2,0.018569028771157625,0.3099490287711576,0.29138
730,2,AJ,3,0.028552608284579173,0.3060086082845792,0.27745600000000004
1095,2,AJ,1,-0.05268511035314144,0.28003088964685857,0.332716
1095,2,AJ,2,0.08518745186170601,0.372564451861706,0.287377
1095,2,AJ,3,-0.032502341508564625,0.34740465849143537,0.379907
1460,2,AJ,1,-0.0696727402354276,0.18668725976457237,0.25636
1460,2,AJ,2,0.048496895378992766,0.32599389537899276,0.277497
1460,2,AJ,3,0.021175844856434867,0.48731884485643484,0.466143
1825,2,AJ,1,-0.011251740235427632,0.18668725976457237,0.197939
1825,2,AJ,2,0.06681289537899276,0.32599389537899276,0.259181
1825,2,AJ,3,-0.05556115514356519,0.48731884485643484,0.54288
365,3,AJ,1,0.14288319995209797,0.7229411999520979,0.580058
365,3,AJ,2,-0.05960032761167222,0.21535667238832779,0.274957
365,3,AJ,3,-0.08328287234042558,0.06170212765957442,0.144985
730,3,AJ,1,0.06545016543584437,0.49661416543584436,0.431164
730,3,AJ,2,-0.0011842708029465299,0.29019572919705344,0.29138
730,3,AJ,3,-0.06426589463289761,0.21319010536710242,0.27745600000000004
1095,3,AJ,1,0.058367655280727404,0.3910836552807274,0.332716
1095,3,AJ,2,-0.1712987083211786,0.11607829167882139,0.287377
1095,3,AJ,3,0.11293105304045142,0.4928380530404514,0.379907
1460,3,AJ,1,0.004362436853818319,0.2607224368538183,0.25636
1460,3,AJ,2,-0.031057489894269485,0.2464395101057305,0.277497
1460,3,AJ,3,0.026695053040451444,0.4928380530404514,0.466143
1825,3,AJ,1,0.06278343685381829,0.2607224368538183,0.197939
1825,3,AJ,2,-0.012741489894269487,0.2464395101057305,0.259181
1825,3,AJ,3,-0.05004194695954861,0.4928380530404514,0.54288
365,4,AJ,1,0.0028216345238994966,0.5828796345238995,0.580058
365,4,AJ,2,-0.0231474928210052,0.2518095071789948,0.274957
365,4,AJ,3,0.02032585829710576,0.16531085829710576,0.144985
730,4,AJ,1,-0.018611479174806045,0.41255252082519395,0.431164
730,4,AJ,2,-0.004300078054407297,0.2870799219455927,0.29138
730,4,AJ,3,0.022911557229213453,0.3003675572292135,0.27745600000000004
1095,4,AJ,1,0.07983652082519394,0.41255252082519395,0.332716
1095,4,AJ,2,-0.13852074417635937,0.14885625582364062,0.287377
1095,4,AJ,3,0.058684223351165576,0.43859122335116557,0.379907
1460,4,AJ,1,0.01867501388346271,0.2750350138834627,0.25636
1460,4,AJ,2,0.008876762765371915,0.2863737627653719,0.277497
1460,4,AJ,3,-0.027551776648834403,0.43859122335116557,0.466143
1825,4,AJ,1,0.07709601388346268,0.2750350138834627,0.197939
1825,4,AJ,2,-0.04440067792597108,0.21478032207402892,0.259181
