time,method,1,2,3
365,AJ,0.0011372253873980986,-0.0014780685613741433,3.408431739760479e-4
365,MSMI-Cox,0.0010372000000000354,-0.0012326000000000017,1.953999999999998e-4
365,MSMI-Cox-Boot,0.001220000000000041,-0.0013470000000000068,1.2699999999999964e-4
365,MSMI-KM,0.0010372000000000354,-0.0013078000000000037,2.7060000000000105e-4
365,MSMI-KM-Boot,0.001220000000000041,-0.0013406000000000021,1.2059999999999765e-4
730,AJ,0.001159149125467717,5.836403402016092e-4,-0.0017427894656693562
730,MSMI-Cox,0.0011156000000000083,7.212000000000312e-4,-0.0018368000000000273
730,MSMI-Cox-Boot,0.0013872000000000064,8.376000000000282e-4,-0.0022248000000000324
730,MSMI-KM,0.0011156000000000083,2.412000000000276e-4,-0.001356800000000034
730,MSMI-KM-Boot,0.0013872000000000064,1.7240000000002837e-4,-0.0015596000000000327
1095,AJ,-0.001345928468091904,0.0014561531832000538,-1.1022471510817098e-4
1095,MSMI-Cox,-0.0014588000000000088,0.0034758000000000054,-0.0020169999999999893
1095,MSMI-Cox-Boot,-0.001352400000000009,0.0036970000000000063,-0.002344599999999994
1095,MSMI-KM,-0.0014588000000000088,0.0021734000000000102,-7.145999999999982e-4
1095,MSMI-KM-Boot,-0.001352400000000009,0.0020318000000000085,-6.793999999999979e-4
1460,AJ,-0.00239895823629421,1.667215327347615e-4,0.0022322367035594822
1460,MSMI-Cox,-0.0023715999999999724,0.003656200000000008,-0.0012845999999999745
1460,MSMI-Cox-Boot,-0.0023087999999999716,0.003773800000000012,-0.0014649999999999754
1460,MSMI-KM,-0.0023715999999999724,0.0011474000000000033,0.0012242000000000325
1460,MSMI-KM-Boot,-0.0023087999999999716,8.502000000000048e-4,0.0014586000000000275
1825,AJ,0.0020975406781766465,-0.0022865327648433427,1.889920866666439e-4
1825,MSMI-Cox,8.669999999999965e-4,5.400000000006066e-6,-8.724000000000306e-4
1825,MSMI-Cox-Boot,0.0013822000000000014,-3.561999999999952e-4,-0.0010260000000000275
1825,MSMI-KM,8.669999999999965e-4,-0.00428019999999999,0.003413199999999973
1825,MSMI-KM-Boot,0.0013822000000000014,-0.004850199999999994,0.0034679999999999733
