time,simulation,method,state,bias,estimate,truth
365,1,Aalen-Johansen,1,-0.03418398610179407,0.5458740138982059,0.580058
365,1,Aalen-Johansen,2,0.01732571062433852,0.3047587106243385,0.287433
365,1,Aalen-Johansen,3,0.016858275477455387,0.1493672754774554,0.13250900000000002
730,1,Aalen-Johansen,1,0.005492992810853581,0.4366569928108536,0.431164
730,1,Aalen-Johansen,2,0.009224203284695642,0.34655220328469566,0.337328
730,1,Aalen-Johansen,3,-0.014717196095549584,0.2167908039044504,0.231508
1095,1,Aalen-Johansen,1,-0.02915766275181303,0.303558337248187,0.332716
1095,1,Aalen-Johansen,2,0.09567537318827535,0.46316337318827533,0.367488
1095,1,Aalen-Johansen,3,-0.06651771043646268,0.23327828956353733,0.299796
1460,1,Aalen-Johansen,1,-0.01489314082530574,0.24146685917469424,0.25636
1460,1,Aalen-Johansen,2,0.07045266407813078,0.46109866407813077,0.390646
1460,1,Aalen-Johansen,3,-0.05555952325282537,0.29743447674717466,0.35299400000000003
1825,1,Aalen-Johansen,1,-0.03696109388353719,0.16097790611646282,0.197939
1825,1,Aalen-Johansen,2,0.13699961713636216,0.5415876171363622,0.404588
1825,1,Aalen-Johansen,3,-0.1000385232528253,0.29743447674717466,0.39747299999999997
365,2,Aalen-Johansen,1,0.024839959183673543,0.6048979591836735,0.580058
365,2,Aalen-Johansen,2,-0.06977562166405021,0.21765737833594978,0.287433
365,2,Aalen-Johansen,3,0.0449356624803767,0.1774446624803767,0.13250900000000002
730,2,Aalen-Johansen,1,0.045732841499532384,0.4768968414995324,0.431164
730,2,Aalen-Johansen,2,-0.07512805202561851,0.2621999479743815,0.337328
730,2,Aalen-Johansen,3,0.02939521052608568,0.26090321052608567,0.231508
1095,2,Aalen-Johansen,1,0.07933094268705809,0.4120469426870581,0.332716
1095,2,Aalen-Johansen,2,-0.08900269533179916,0.2784853046682008,0.367488
1095,2,Aalen-Johansen,3,0.009671752644740572,0.3094677526447406,0.299796
1460,2,Aalen-Johansen,1,0.07775227207927965,0.3341122720792796,0.25636
1460,2,Aalen-Johansen,2,-0.09943997798586218,0.2912060220141378,0.390646
1460,2,Aalen-Johansen,3,0.021687705906582033,0.37468170590658206,0.35299400000000003
1825,2,Aalen-Johansen,1,-0.06181918544918236,0.13611981455081765,0.197939
1825,2,Aalen-Johansen,2,0.016550572267190977,0.421138572267191,0.404588
1825,2,Aalen-Johansen,3,0.04526861318199088,0.44274161318199085,0.39747299999999997
365,3,Aalen-Johansen,1,0.06708686336032366,0.6471448633603236,0.580058
365,3,Aalen-Johansen,2,-0.02707786336032386,0.26035513663967613,0.287433
365,3,Aalen-Johansen,3,-0.04000900000000002,0.0925,0.13250900000000002
730,3,Aalen-Johansen,1,0.04528528038188978,0.4764492803818898,0.431164
730,3,Aalen-Johansen,2,0.005557627000155052,0.34288562700015507,0.337328
730,3,Aalen-Johansen,3,-0.05084290738204503,0.18066509261795496,0.231508
1095,3,Aalen-Johansen,1,0.028230424531734744,0.36094642453173476,0.332716
1095,3,Aalen-Johansen,2,0.04758799001090147,0.41507599001090145,0.367488
1095,3,Aalen-Johansen,3,-0.07581841454263638,0.22397758545736363,0.299796
1460,3,Aalen-Johansen,1,0.08202727299850138,0.33838727299850135,0.25636
1460,3,Aalen-Johansen,2,-0.03161001779377398,0.359035982206226,0.390646
1460,3,Aalen-Johansen,3,-0.05041725520472756,0.30257674479527247,0.35299400000000003
1825,3,Aalen-Johansen,1,0.027652515332334232,0.22559151533233424,0.197939
1825,3,Aalen-Johansen,2,-3.143120819628642e-4,0.40427368791803714,0.404588
1825,3,Aalen-Johansen,3,-0.027338203250371507,0.37013479674962846,0.39747299999999997
365,4,Aalen-Johansen,1,-0.047322940184133966,0.532735059815866,0.580058
365,4,Aalen-Johansen,2,-0.01740373855854016,0.27002926144145983,0.287433
365,4,Aalen-Johansen,3,0.06472667874267365,0.19723567874267367,0.13250900000000002
730,4,Aalen-Johansen,1,-0.1201438363251841,0.3110201636748159,0.431164
730,4,Aalen-Johansen,2,0.06381795359225428,0.4011459535922543,0.337328
730,4,Aalen-Johansen,3,0.05632588273292938,0.28783388273292937,0.231508
1095,4,Aalen-Johansen,1,-0.08877861672563458,0.24393738327436543,0.332716
1095,4,Aalen-Johansen,2,0.10074073399270478,0.46822873399270476,0.367488
1095,4,Aalen-Johansen,3,-0.011962117267070638,0.28783388273292937,0.299796
1460,4,Aalen-Johansen,1,-0.01242261672563455,0.24393738327436543,0.25636
1460,4,Aalen-Johansen,2,0.00461202220163387,0.39525802220163386,0.390646
1460,4,Aalen-Johansen,3,0.007810594524000236,0.36080459452400027,0.35299400000000003
1825,4,Aalen-Johansen,1,0.04599838327436542,0.24393738327436543,0.197939
1825,4,Aalen-Johansen,2,-0.00932997779836614,0.39525802220163386,0.404588
1825,4,Aalen-Johansen,3,-0.0366684054759997,0.36080459452400027,0.39747299999999997
365,5,Aalen-Johansen,1,0.024975657098952664,0.6050336570989526,0.580058
365,5,Aalen-Johansen,2,-0.07421488045544622,0.21321811954455377,0.287433
365,5,Aalen-Johansen,3,0.049239223356493195,0.1817482233564932,0.13250900000000002
730,5,Aalen-Johansen,1,0.010535917785352955,0.44169991778535295,0.431164
730,5,Aalen-Johansen,2,-0.057588885974230564,0.27973911402576945,0.337328
730,5,Aalen-Johansen,3,0.04705296818887711,0.2785609681888771,0.231508
1095,5,Aalen-Johansen,1,-0.004611156764707858,0.32810484323529215,0.332716
1095,5,Aalen-Johansen,2,-0.0408891690244742,0.3265988309755258,0.367488
1095,5,Aalen-Johansen,3,0.04550032578918156,0.34529632578918157,0.299796
1460,5,Aalen-Johansen,1,-0.020797548446456898,0.23556245155354308,0.25636
1460,5,Aalen-Johansen,2,-0.06359165456741206,0.32705434543258793,0.390646
1460,5,Aalen-Johansen,3,0.08438920301386849,0.4373832030138685,0.35299400000000003
1825,5,Aalen-Johansen,1,0.011449845825371618,0.20938884582537162,0.197939
1825,5,Aalen-Johansen,2,-0.07753365456741207,0.32705434543258793,0.404588
1825,5,Aalen-Johansen,3,0.06608380874204,0.46355680874203997,0.39747299999999997
365,6,Aalen-Johansen,1,-0.005318653155627406,0.5747393468443726,0.580058
365,6,Aalen-Johansen,2,0.06022438967635951,0.3476573896763595,0.287433
365,6,Aalen-Johansen,3,-0.054905736520731704,0.07760326347926831,0.13250900000000002
730,6,Aalen-Johansen,1,-0.041196041039910314,0.3899679589600897,0.431164
730,6,Aalen-Johansen,2,0.1187381284507148,0.4560661284507148,0.337328
730,6,Aalen-Johansen,3,-0.07754208741080423,0.15396591258919576,0.231508
1095,6,Aalen-Johansen,1,-0.09637178244843048,0.23634421755156954,0.332716
1095,6,Aalen-Johansen,2,0.15413666728864034,0.5216246672886403,0.367488
1095,6,Aalen-Johansen,3,-0.057764884840209585,0.24203111515979042,0.299796
1460,6,Aalen-Johansen,1,-0.02001578244843044,0.23634421755156954,0.25636
1460,6,Aalen-Johansen,2,0.13097866728864033,0.5216246672886403,0.390646
1460,6,Aalen-Johansen,3,-0.11096288484020961,0.24203111515979042,0.35299400000000003
1825,6,Aalen-Johansen,1,0.03840521755156953,0.23634421755156954,0.197939
1825,6,Aalen-Johansen,2,-0.06987883848978904,0.33470916151021096,0.404588
1825,6,Aalen-Johansen,3,0.03147362093821987,0.42894662093821984,0.39747299999999997
365,7,Aalen-Johansen,1,0.06555178863233002,0.64560978863233,0.580058
365,7,Aalen-Johansen,2,-0.020295998530070414,0.2671370014699296,0.287433
365,7,Aalen-Johansen,3,-0.04525579010225983,0.08725320989774019,0.13250900000000002
730,7,Aalen-Johansen,1,0.06452997964131535,0.49569397964131534,0.431164
730,7,Aalen-Johansen,2,-0.02311966173182839,0.3142083382681716,0.337328
730,7,Aalen-Johansen,3,-0.04141031790948735,0.19009768209051264,0.231508
1095,7,Aalen-Johansen,1,0.06472661539015945,0.39744261539015946,0.332716
1095,7,Aalen-Johansen,2,-0.05247288649807241,0.31501511350192757,0.367488
1095,7,Aalen-Johansen,3,-0.012253728892087479,0.28754227110791253,0.299796
1460,7,Aalen-Johansen,1,0.10495146853650861,0.3613114685365086,0.25636
1460,7,Aalen-Johansen,2,-0.07450141892241346,0.31614458107758653,0.390646
1460,7,Aalen-Johansen,3,-0.030450049614095587,0.32254395038590444,0.35299400000000003
1825,7,Aalen-Johansen,1,0.16337246853650858,0.3613114685365086,0.197939
1825,7,Aalen-Johansen,2,-0.1411341824353446,0.2634538175646554,0.404588
1825,7,Aalen-Johansen,3,-0.022238286101164406,0.37523471389883556,0.39747299999999997
365,8,Aalen-Johansen,1,0.024457167113479672,0.6045151671134796,0.580058
365,8,Aalen-Johansen,2,0.004328281028601555,0.29176128102860155,0.287433
365,8,Aalen-Johansen,3,-0.028785448142081033,0.10372355185791898,0.13250900000000002
730,8,Aalen-Johansen,1,0.06136400405013892,0.4925280040501389,0.431164
730,8,Aalen-Johansen,2,0.012730905122641911,0.35005890512264193,0.337328
730,8,Aalen-Johansen,3,-0.07409490917278064,0.15741309082721935,0.231508
1095,8,Aalen-Johansen,1,0.023443387158320783,0.3561593871583208,0.332716
1095,8,Aalen-Johansen,2,0.07675221176801605,0.44424021176801604,0.367488
1095,8,Aalen-Johansen,3,-0.10019559892633662,0.1996004010736634,0.299796
1460,8,Aalen-Johansen,1,0.02983950753793646,0.28619950753793644,0.25636
1460,8,Aalen-Johansen,2,0.039969544737302576,0.43061554473730257,0.390646
1460,8,Aalen-Johansen,3,-0.0698090522752387,0.2831849477247613,0.35299400000000003
1825,8,Aalen-Johansen,1,-0.0016879091168435778,0.19625109088315643,0.197939
1825,8,Aalen-Johansen,2,-0.025405670327322938,0.37918232967267707,0.404588
1825,8,Aalen-Johansen,3,0.027093579444166904,0.42456657944416687,0.39747299999999997
365,9,Aalen-Johansen,1,-0.037500262873810586,0.5425577371261894,0.580058
365,9,Aalen-Johansen,2,0.055761352686358456,0.34319435268635845,0.287433
365,9,Aalen-Johansen,3,-0.01826108981254826,0.11424791018745176,0.13250900000000002
730,9,Aalen-Johansen,1,-0.026706528978012622,0.40445747102198737,0.431164
730,9,Aalen-Johansen,2,0.0418580484776237,0.3791860484776237,0.337328
730,9,Aalen-Johansen,3,-0.015151519499611493,0.2163564805003885,0.231508
1095,9,Aalen-Johansen,1,-0.028158136022488012,0.304557863977512,0.332716
1095,9,Aalen-Johansen,2,0.08570038906278032,0.4531883890627803,0.367488
1095,9,Aalen-Johansen,3,-0.0575422530402927,0.2422537469597073,0.299796
1460,9,Aalen-Johansen,1,0.010128130980323002,0.266488130980323,0.25636
1460,9,Aalen-Johansen,2,0.0502578566085492,0.4409038566085492,0.390646
1460,9,Aalen-Johansen,3,-0.06038598758887259,0.29260801241112744,0.35299400000000003
1825,9,Aalen-Johansen,1,0.02413444248360247,0.22207344248360247,0.197939
1825,9,Aalen-Johansen,2,0.03631585660854919,0.4409038566085492,0.404588
1825,9,Aalen-Johansen,3,-0.06045029909215205,0.3370227009078479,0.39747299999999997
365,10,Aalen-Johansen,1,-0.03912438076644709,0.5409336192335529,0.580058
365,10,Aalen-Johansen,2,0.07519949969611678,0.3626324996961168,0.287433
365,10,Aalen-Johansen,3,-0.03607511892966951,0.0964338810703305,0.13250900000000002
730,10,Aalen-Johansen,1,-0.023728673061840122,0.40743532693815987,0.431164
730,10,Aalen-Johansen,2,0.05420449317918963,0.39153249317918964,0.337328
730,10,Aalen-Johansen,3,-0.030475820117349228,0.20103217988265076,0.231508
1095,10,Aalen-Johansen,1,0.00596461551734534,0.33868061551734535,0.332716
1095,10,Aalen-Johansen,2,0.011437989766749812,0.3789259897667498,0.367488
1095,10,Aalen-Johansen,3,-0.01740260528409493,0.2823933947159051,0.299796
1460,10,Aalen-Johansen,1,-0.04938851273940012,0.20697148726059986,0.25636
1460,10,Aalen-Johansen,2,0.00624166433712825,0.39688766433712824,0.390646
1460,10,Aalen-Johansen,3,0.043146848402272064,0.3961408484022721,0.35299400000000003
1825,10,Aalen-Johansen,1,-0.1289485042464667,0.06899049575353329,0.197939
1825,10,Aalen-Johansen,2,0.13028065584419485,0.5348686558441949,0.404588
1825,10,Aalen-Johansen,3,-0.0013321515977278708,0.3961408484022721,0.39747299999999997
365,11,Aalen-Johansen,1,-0.04298343829690343,0.5370745617030965,0.580058
365,11,Aalen-Johansen,2,0.07075600849759511,0.3581890084975951,0.287433
365,11,Aalen-Johansen,3,-0.027772570200691668,0.10473642979930835,0.13250900000000002
730,11,Aalen-Johansen,1,-0.01214607569913223,0.41901792430086776,0.431164
730,11,Aalen-Johansen,2,0.06876556585122812,0.40609356585122813,0.337328
730,11,Aalen-Johansen,3,-0.05661949015209594,0.17488850984790405,0.231508
1095,11,Aalen-Johansen,1,-0.0738162189215581,0.2588997810784419,0.332716
1095,11,Aalen-Johansen,2,0.07925940858789893,0.4467474085878989,0.367488
1095,11,Aalen-Johansen,3,-0.005443189666340942,0.29435281033365907,0.299796
1460,11,Aalen-Johansen,1,-0.026226861263607182,0.2301331387363928,0.25636
1460,11,Aalen-Johansen,2,-0.002521554529970216,0.3881244454700298,0.390646
1460,11,Aalen-Johansen,3,0.028748415793577287,0.3817424157935773,0.35299400000000003
1825,11,Aalen-Johansen,1,-0.013832489010885768,0.18410651098911424,0.197939
1825,11,Aalen-Johansen,2,0.029563073217308333,0.43415107321730834,0.404588
1825,11,Aalen-Johansen,3,-0.01573058420642265,0.3817424157935773,0.39747299999999997
365,12,Aalen-Johansen,1,-0.06222795113130475,0.5178300488686952,0.580058
365,12,Aalen-Johansen,2,-0.05403242011983053,0.23340057988016946,0.287433
365,12,Aalen-Johansen,3,0.11626037125113506,0.24876937125113507,0.13250900000000002
730,12,Aalen-Johansen,1,-0.015529679635376603,0.4156343203646234,0.431164
730,12,Aalen-Johansen,2,-0.08480115704523639,0.25252684295476363,0.337328
730,12,Aalen-Johansen,3,0.10033083668061266,0.33183883668061265,0.231508
1095,12,Aalen-Johansen,1,-0.013432822155720614,0.3192831778442794,0.332716
1095,12,Aalen-Johansen,2,-0.11930483637008407,0.2481831636299159,0.367488
